"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"ago/22";"jul/22";"jun/22";"mai/22";"abr/22";"mar/22";"fev/22";"jan/22";"dez/21";"nov/21";"out/21";"set/21";"Competência";"Data de atualização"
"HBC SAÚDE LTDA. (414352)";"Médico Hospitalar";"Médio";"67";"54";"   3,14";"   4,94";"   6,46";"   6,15";"    8,91";"  15,48";"  15,85";"  14,18";"   7,25";"   8,26";"   8,51";"   8,55";"202208";"13/09/2022 15:15:14"
"HEALTH-MED SISTEMA DE SAUDE LTDA (421723)";"Médico Hospitalar";"Pequeno";"81";"56";"   3,46";"   7,04";"   7,55";"   8,05";"   12,81";"  13,62";"   9,78";"0,00";"0,00";"  12,62";"  14,16";"  24,02";"202208";"13/09/2022 15:15:14"
"HOSPITAIS E CLÍNICAS DO PIAUÍ S/S LTDA (416398)";"Médico Hospitalar";"Médio";"70";"68";"   2,79";"   3,41";"   3,13";"   3,15";"    3,49";"   3,17";"   1,91";"   1,27";"   0,96";"   2,23";"   2,55";"   4,14";"202208";"13/09/2022 15:15:14"
"HOSPITAL BOM SAMARITANO S/S LTDA (419362)";"Médico Hospitalar";"Pequeno";"4";"3";" 119,24";" 198,73";" 539,48";" 753,85";"  669,87";" 346,55";" 197,26";" 141,01";" 126,01";"  56,46";"  36,54";"  28,95";"202208";"13/09/2022 15:15:14"
"HOSPITAL CÉSAR LEITE (314706)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,10";"   1,10";"202208";"13/09/2022 15:15:14"
"HOSPITAL DE CARIDADE SÃO VICENTE DE PAULO (420930)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"HOSPITAL DE PRONTOCLINICA LTDA. (341941)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"HOSPITAL MARECHAL CÂNDIDO RONDON S/A (392391)";"Médico Hospitalar";"Médio";"123";"115";"   1,10";"   1,56";"   1,72";"   2,48";"    2,76";"   2,79";"   2,81";"   2,31";"   2,06";"   1,30";"   1,05";"   1,06";"202208";"13/09/2022 15:15:14"
"HOSPITAL MATER DEI SA  (421626)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"   2,27";"   2,31";"   2,35";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"HOSPITAL S.P. LTDA. (363189)";"Médico Hospitalar";"Pequeno";"173";"80";"0,00";"   4,05";"   4,05";"   4,05";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"HUMANA ASSISTENCIA MEDICA LTDA (357511)";"Médico Hospitalar";"Grande";"18";"12";"   8,08";"  10,81";"  12,24";"  12,22";"   10,56";"   9,29";"   7,82";"   8,71";"   9,74";"   9,86";"   8,80";"   7,00";"202208";"13/09/2022 15:15:14"
"HUMANA PARANÁ S.A (348180)";"Médico Hospitalar";"Grande";"5";"5";"  11,28";"  14,79";"  15,21";"  14,80";"   12,32";"  10,76";"  10,26";"  10,97";"  11,39";"   9,18";"   6,81";"   4,66";"202208";"13/09/2022 15:15:14"
"HUMANA SAÚDE SUL LTDA. (369373)";"Médico Hospitalar";"Médio";"104";"113";"   1,59";"   1,63";"   1,97";"   1,33";"    0,34";"0,00";"0,00";"   1,05";"   1,42";"   2,51";"   1,82";"   1,84";"202208";"13/09/2022 15:15:14"
"IDEAL SAÚDE ASSISTÊNCIA MÉDICA AMBULATORIAL LTDA (420751)";"Médico Hospitalar";"Pequeno";"63";"86";"   5,70";"   3,65";"   7,77";"  11,52";"   14,39";"  11,99";"  10,20";"   6,43";"   6,00";"   8,56";"   9,24";"   8,41";"202208";"13/09/2022 15:15:14"
"INDUSTRIAS NUCLEARES DO BRASIL S/A - INB (329282)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   3,06";"202208";"13/09/2022 15:15:14"
"INSTITUIÇÃO BENEFICENTE CEL MASSOT - IBCM (419427)";"Médico Hospitalar";"Médio";"162";"195";"   0,63";"   0,31";"0,00";"   0,31";"    0,31";"   0,31";"0,00";"0,00";"   0,31";"   0,31";"   0,30";"0,00";"202208";"13/09/2022 15:15:14"
"INSTITUTO CURITIBA DE SAÚDE (419010)";"Médico Hospitalar";"Médio";"118";"103";"   1,19";"   1,85";"   1,98";"   1,19";"    0,79";"   1,05";"   1,05";"   0,79";"   0,52";"   1,04";"   1,30";"   1,17";"202208";"13/09/2022 15:15:14"
"INTERCLÍNICAS DO BRASIL ASSISTENCIA MÉDICA LTDA (420841)";"Médico Hospitalar";"Pequeno";"7";"4";" 100,50";" 168,13";"  92,17";" 111,19";"   42,95";"  41,67";"  20,23";"  79,00";"  96,65";"  94,82";"  55,90";"  36,63";"202208";"13/09/2022 15:15:14"
"INTERMEDICI PIRACICABA ASSISTENCIA MEDICA LTDA (312282)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"   1,69";"   1,70";"    1,70";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"IRMANDADE DA SANTA CASA DE MISERICORDIA DE LIMEIRA (319422)";"Médico Hospitalar";"Médio";"167";"116";"   0,50";"   1,51";"   1,52";"   1,02";"    0,52";"   0,52";"   0,52";"   0,52";"   2,10";"   2,62";"   2,09";"   0,53";"202208";"13/09/2022 15:15:14"
"IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE PASSOS (333875)";"Médico Hospitalar";"Pequeno";"154";"103";"   0,92";"   2,76";"   1,84";"   1,84";"0,00";"   2,77";"   3,69";"   3,69";"   0,92";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE PIRACICABA (354562)";"Médico Hospitalar";"Médio";"179";"185";"   0,42";"   0,42";"   0,43";"   0,43";"    1,08";"   1,09";"   1,32";"   0,66";"   0,66";"   0,67";"   0,89";"   1,12";"202208";"13/09/2022 15:15:14"
"IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE RIO CLARO (347655)";"Médico Hospitalar";"Médio";"148";"156";"   0,81";"   0,81";"   0,27";"0,00";"0,00";"   0,53";"   0,53";"   0,53";"0,00";"   0,27";"   0,54";"   0,56";"202208";"13/09/2022 15:15:14"
"IRMANDADE DA SANTA CASA DE MISERICÓRDIA E MATERNIDADE DONA ZILDA SALVAGNI (321320)";"Médico Hospitalar";"Pequeno";"137";"142";"   1,28";"   1,28";"   1,28";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"IRMANDADE DE MISERICORDIA DE PORTO FERREIRA (329355)";"Médico Hospitalar";"Pequeno";"166";"186";"   0,63";"0,00";"0,00";"0,00";"    1,26";"   1,90";"   1,91";"   1,92";"   1,28";"   1,31";"0,00";"   0,68";"202208";"13/09/2022 15:15:14"
"IRMANDADE DE MISERICÓRDIA DO HOSPITAL DA SANTA CASA DE MONTE ALTO (333808)";"Médico Hospitalar";"Pequeno";"160";"186";"   0,75";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,79";"   0,80";"   1,64";"   0,82";"202208";"13/09/2022 15:15:14"
"IRMANDADE SANTA CASA DE MISERICÓRDIA DE ITAPEVA (345741)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"IRMANDADE SANTA CASA DE MISERICÓRDIA DE MARINGÁ (336831)";"Médico Hospitalar";"Médio";"151";"120";"   0,72";"   1,46";"   1,97";"   2,48";"    1,75";"   1,77";"   1,28";"   1,54";"   1,55";"   2,34";"   2,09";"   2,10";"202208";"13/09/2022 15:15:14"
"ITAIPU BINACIONAL (366234)";"Médico Hospitalar";"Pequeno";"133";"138";"   1,36";"   1,36";"   1,36";"0,00";"0,00";"   1,35";"   1,35";"   1,35";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ITAUSEG SAÚDE S.A. (000884)";"Médico Hospitalar";"Pequeno";"41";"35";"   9,76";"  14,60";"  18,17";"  15,68";"   19,20";"  17,93";"  23,78";"  17,76";"  17,68";"  12,91";"  23,35";"  29,03";"202208";"13/09/2022 15:15:14"
"KIPP SAÚDE LTDA. (422614)";"Médico Hospitalar";"Pequeno";"8";"8";"  77,08";"  85,67";"  57,47";"  44,48";"   26,34";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"202208";"13/09/2022 15:15:14"
"KLINI PLANOS DE SAÚDE LTDA (422029)";"Médico Hospitalar";"Médio";"30";"27";"   8,08";"   9,47";"   9,29";"  11,56";"   11,38";"  11,57";"   8,45";"   9,06";"  21,28";"  26,71";"  35,49";"0,00";"202208";"13/09/2022 15:15:14"
"LEADER ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA. (364592)";"Médico Hospitalar";"Pequeno";"14";"15";"  37,14";"  41,69";"  38,17";"  48,61";"   53,09";"  71,92";"  47,03";"  56,84";"  58,94";"  77,66";"  65,34";"  75,68";"202208";"13/09/2022 15:15:14"
"LEVE SAUDE OPERADORA DE PLANOS DE SAUDE S.A (422339)";"Médico Hospitalar";"Pequeno";"18";"18";"  30,12";"  38,39";"  36,13";"  35,39";"   38,26";"  44,73";"  41,11";"  35,19";"  37,52";"  40,00";"  32,02";"  20,63";"202208";"13/09/2022 15:15:14"
"LÍDER COMÉRCIO E INDÚSTRIA LTDA. (412490)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"LIFE EMPRESARIAL SAÚDE LTDA. (414492)";"Médico Hospitalar";"Médio";"106";"101";"   1,51";"   1,94";"   0,65";"   0,65";"    0,64";"   1,47";"   1,45";"   1,44";"   1,03";"   1,43";"   1,02";"   1,42";"202208";"13/09/2022 15:15:14"
"LIV LINHAS INTELIGENTES DE ATENÇÃO À VIDA S/A (379280)";"Médico Hospitalar";"Grande";"60";"53";"   2,75";"   4,13";"   5,18";"   6,18";"    5,80";"   5,06";"   5,01";"   5,63";"   6,61";"   6,62";"   6,87";"   6,26";"202208";"13/09/2022 15:15:14"
"LIVRI OPERADORA DE PLANO DE SAÚDE LTDA (422479)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"202208";"13/09/2022 15:15:14"
"MAIS SAÚDE PLANO DE SAÚDE LTDA (415065)";"Médico Hospitalar";"Pequeno";"57";"71";"   6,61";"   5,05";"   6,35";"   7,67";"    9,06";"   9,49";"   8,78";"  10,74";"  10,05";"  10,74";"   4,94";"  10,61";"202208";"13/09/2022 15:15:14"
"MAIS SAUDE S/A (419516)";"Médico Hospitalar";"Médio";"35";"19";"   6,80";"  12,83";"  13,24";"  12,42";"    6,82";"   7,22";"   9,65";"  10,82";"  10,47";"   8,93";"   8,99";"  12,02";"202208";"13/09/2022 15:15:14"
"MATÃO CLINICAS & AMHMA SAÚDE LTDA (416495)";"Médico Hospitalar";"Médio";"203";"193";"0,00";"   0,34";"   0,35";"   1,05";"    0,71";"   0,71";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,39";"202208";"13/09/2022 15:15:14"
"MED LIFE SAUDE ATA LTDA (419656)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"MEDGOLD ASSISTENCIA MEDICA LTDA - ME (419753)";"Médico Hospitalar";"Pequeno";"124";"84";"   1,62";"   3,72";"   2,08";"   2,37";"    2,71";"   3,04";"   6,56";"   3,44";"   3,54";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"MEDHEALTH PLANOS DE SAÚDE LTDA (421367)";"Médico Hospitalar";"Pequeno";"11";"17";"  42,75";"  39,45";"  33,43";"  21,89";"   28,36";"  33,07";"  35,97";"  27,66";"  12,93";"  11,31";"   9,69";"  11,14";"202208";"13/09/2022 15:15:14"
"MEDISERVICE OPERADORA DE PLANOS DE SAÚDE S.A. (333689)";"Médico Hospitalar";"Grande";"50";"48";"   3,58";"   4,75";"   5,21";"   6,05";"    4,86";"   5,23";"   4,39";"   4,68";"   4,36";"   4,79";"   5,62";"   6,27";"202208";"13/09/2022 15:15:14"
"MEDPLAN ASSISTÊNCIA MEDICA LTDA. (337510)";"Médico Hospitalar";"Grande";"52";"54";"   3,33";"   4,11";"   4,12";"   3,65";"    3,98";"   3,70";"   3,10";"   2,24";"   3,36";"   4,42";"   4,43";"   4,02";"202208";"13/09/2022 15:15:14"
"MED-TOUR ADMINISTRADORA DE BENEFÍCIOS E EMPREENDIMENTOS LTDA. (328537)";"Médico Hospitalar";"Médio";"79";"82";"   2,46";"   2,83";"   4,21";"   4,08";"    4,94";"   4,01";"   4,46";"   4,10";"   4,77";"   4,83";"   4,24";"   6,42";"202208";"13/09/2022 15:15:14"
"MEMORIAL SAUDE LTDA (373010)";"Médico Hospitalar";"Grande";"63";"60";"   2,47";"   3,46";"   2,77";"   3,30";"    2,42";"   2,86";"   1,87";"   2,04";"   1,50";"   2,19";"   2,86";"   3,25";"202208";"13/09/2022 15:15:14"
"METRUS INSTITUTO DE SEGURIDADE SOCIAL (380661)";"Médico Hospitalar";"Médio";"83";"114";"   2,28";"   1,63";"   2,27";"   2,59";"    2,91";"   3,54";"   3,84";"   5,74";"   5,40";"   5,39";"   6,01";"   6,30";"202208";"13/09/2022 15:15:14"
"MH VIDA - OPERADORA DE PLANOS DE SAÚDE LTDA (412015)";"Médico Hospitalar";"Pequeno";"54";"57";"   6,98";"   6,97";"0,00";"0,00";"0,00";"   3,44";"   3,42";"   3,39";"   3,37";"   3,34";"   6,67";"   6,69";"202208";"13/09/2022 15:15:14"
"MINERAÇÃO CARAÍBA S/A (416703)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"MÚTUA DOS MAGISTRADOS DO ESTADO DO RIO DE JANEIRO (418650)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"NOSAMED ASSISTÊNCIA MÉDICA LTDA. (305928)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"NOSSA SAÚDE - OPERADORA PLANOS PRIVADOS DE ASSISTÊNCIA  À SAÚDE LTDA. (372609)";"Médico Hospitalar";"Médio";"61";"51";"   3,64";"   5,24";"   7,51";"   9,68";"    9,45";"   8,86";"   5,99";"   5,10";"   4,40";"   5,50";"   5,68";"   5,73";"202208";"13/09/2022 15:15:14"
"NOTRE DAME INTERMÉDICA MINAS GERAIS SAÚDE S.A. (348520)";"Médico Hospitalar";"Grande";"17";"16";"   8,22";"   9,82";"  11,07";"  12,12";"   14,36";"  17,45";"  17,31";"  16,83";"  13,48";"  13,25";"  12,80";"  12,93";"202208";"13/09/2022 15:15:14"
"NOTRE DAME INTERMÉDICA SAÚDE S.A. (359017)";"Médico Hospitalar";"Grande";"16";"17";"   8,34";"   9,59";"   9,60";"   9,86";"    9,43";"   9,84";"   9,34";"  10,18";"  11,08";"  12,63";"  13,78";"  14,30";"202208";"13/09/2022 15:15:14"
"NUCLEBRÁS EQUIPAMENTOS PESADOS S/A - NUCLEP (352888)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"   3,76";"   7,50";"   7,47";"   3,72";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"OESTE SAÚDE ASSISTÊNCIA A SAÚDE SUPLEMENTAR S.A (416738)";"Médico Hospitalar";"Médio";"143";"184";"   0,85";"   0,43";"   0,45";"   0,45";"    1,38";"   1,38";"   1,39";"   0,47";"   0,96";"   0,48";"   0,48";"   0,96";"202208";"13/09/2022 15:15:14"
"OMINT SERVIÇOS DE SAÚDE LTDA. (359661)";"Médico Hospitalar";"Grande";"68";"56";"   2,16";"   3,92";"   4,19";"   5,19";"    3,47";"   2,76";"   2,11";"   2,61";"   3,11";"   3,22";"   2,93";"   3,37";"202208";"13/09/2022 15:15:14"
"ÔNIX OPERADORA DE PLANOS DE SAÚDE LTDA (407534)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"   1,93";"    1,91";"   1,89";"   1,89";"   3,74";"   5,49";"   7,09";"   5,20";"   3,42";"202208";"13/09/2022 15:15:14"
"OPERADORA DE PLANOS PRIVADOS DE ASSISTENCIA A SAUDE CONSAUDE S/S LTDA (350729)";"Médico Hospitalar";"Pequeno";"169";"180";"   0,57";"   0,56";"   0,55";"   2,16";"    2,65";"   2,62";"   1,57";"   1,59";"   2,66";"   4,29";"   4,85";"   4,35";"202208";"13/09/2022 15:15:14"
"OPERADORA DE PLANOS PRIVADOS DE SAÚDE - SANTA CASA SAÚDE LTDA (419699)";"Médico Hospitalar";"Pequeno";"173";"93";"0,00";"   3,14";"   3,19";"   3,26";"    3,31";"   4,48";"   6,64";"   5,47";"   4,31";"   3,26";"   4,40";"   5,56";"202208";"13/09/2022 15:15:14"
"OPERADORA UNICENTRAL DE PLANOS DE SAÚDE LTDA. (318477)";"Médico Hospitalar";"Médio";"8";"7";"  18,16";"  23,14";"  25,58";"  23,94";"   22,17";"  25,46";"  23,95";"  21,89";"  15,47";"  13,88";"  11,50";"  12,39";"202208";"13/09/2022 15:15:14"
"OPERADORA UNIESTE DE PLANOS DE SAÚDE LTDA (354511)";"Médico Hospitalar";"Pequeno";"43";"60";"   8,74";"   6,57";"   9,50";"   9,50";"   10,94";"  10,91";"  10,87";"  11,55";"   9,39";"   9,40";"  10,84";"  12,94";"202208";"13/09/2022 15:15:14"
"OPLAN SAÚDE OPERADORA DE PLANO DE SAÚDE LTDA (418226)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"   6,42";"   5,97";"  11,73";"   5,82";"  17,45";"  11,69";"  11,73";"202208";"13/09/2022 15:15:14"
"ORALCLASS ASSISTENCIA MÉDICA E ODONTOLOGICA LTDA. (402478)";"Médico Hospitalar";"Pequeno";"83";"14";"   3,37";"  46,85";" 102,53";" 111,37";"  134,53";" 141,69";" 170,39";" 171,76";" 168,56";" 173,37";" 274,63";" 385,64";"202208";"13/09/2022 15:15:14"
"PARANA ASSISTENCIA MEDICA LTDA (315265)";"Médico Hospitalar";"Médio";"54";"57";"   4,19";"   4,70";"   4,27";"   2,39";"    4,84";"   4,40";"   3,93";"   2,46";"   2,96";"   4,45";"   3,47";"   3,96";"202208";"13/09/2022 15:15:14"
"PARANÁ CLÍNICAS - PLANOS DE SAÚDE S/A (350141)";"Médico Hospitalar";"Grande";"69";"70";"   2,07";"   2,08";"   2,66";"   2,60";"    2,82";"   2,21";"   1,75";"   1,98";"   1,70";"   2,20";"   1,90";"   3,08";"202208";"13/09/2022 15:15:14"
"PASA - PLANO DE ASSISTENCIA A SAUDE DO APOSENTADO DA VALE (331988)";"Médico Hospitalar";"Médio";"62";"60";"   3,45";"   4,51";"   5,13";"   5,54";"    6,15";"   6,90";"   6,19";"   7,14";"   8,33";"   9,06";"   7,51";"   6,90";"202208";"13/09/2022 15:15:14"
"PB ASSISTENCIA MEDICA EU LTDA (422584)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"PERSONAL CARE OPERADORA DE SAÚDE SA (421707)";"Médico Hospitalar";"Pequeno";"64";"64";"   5,64";"   5,91";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   5,65";"   6,00";"202208";"13/09/2022 15:15:14"
"PLADISA PLANOS DE SAÚDE SA (419486)";"Médico Hospitalar";"Pequeno";"145";"92";"   1,05";"   3,15";"   3,16";"   3,69";"    2,11";"   3,17";"   3,19";"   2,13";"   1,61";"   1,08";"   1,66";"   0,56";"202208";"13/09/2022 15:15:14"
"PLAMED PLANO DE ASSISTENCIA MEDICA LTDA (343463)";"Médico Hospitalar";"Médio";"9";"9";"  17,49";"  20,15";"  19,40";"  24,43";"   23,03";"  26,65";"  22,02";"  20,36";"  14,84";"  15,58";"  17,07";"  15,12";"202208";"13/09/2022 15:15:14"
"PLAMEDH - PLANO DE ASSISTÊNCIA MÉDICO-HOSPITALAR LTDA (413551)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"   3,58";"   3,58";"   3,58";"   3,58";"   7,16";"   7,14";"   3,56";"202208";"13/09/2022 15:15:14"
"PLAMER PLANO MEDICO RESENDE LTDA (324299)";"Médico Hospitalar";"Pequeno";"173";"144";"0,00";"   1,20";"   1,20";"   1,20";"    1,19";"   1,17";"   1,16";"0,00";"0,00";"0,00";"   0,96";"   0,95";"202208";"13/09/2022 15:15:14"
"PLAN SAÚDE LTDA (422771)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"  12,58";"  13,48";"   14,33";"0,00";"0,00";"";"";"";"";"";"202208";"13/09/2022 15:15:14"
"PLANO ASSISTENCIAL SÃO LUCAS LTDA (363391)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   5,21";"   5,10";"202208";"13/09/2022 15:15:14"
"PLANO DE ASSISTÊNCIA MÉDICA MINEIRA LTDA (382281)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"PLANO DE SAÚDE ANA COSTA LTDA. (360244)";"Médico Hospitalar";"Médio";"59";"61";"   3,82";"   4,47";"   5,78";"   5,38";"    4,27";"   3,51";"   3,29";"   4,04";"   3,30";"   4,61";"   4,33";"   5,13";"202208";"13/09/2022 15:15:14"
"PLANO DE SAUDE ASES LTDA. (411582)";"Médico Hospitalar";"Pequeno";"76";"78";"   4,17";"   4,20";"   1,68";"   2,52";"    5,03";"   9,20";"   7,47";"   8,26";"   6,57";"   9,82";"   9,79";"   7,32";"202208";"13/09/2022 15:15:14"
"PLANO DE SAÚDE DA SANTA CASA DE BRAGANÇA PAULISTA (420166)";"Médico Hospitalar";"Médio";"203";"188";"0,00";"   0,38";"   0,76";"   0,77";"    0,39";"0,00";"   1,16";"   1,55";"   3,87";"   4,27";"   3,89";"   1,56";"202208";"13/09/2022 15:15:14"
"PLANO HOSPITAL SAMARITANO LTDA (411256)";"Médico Hospitalar";"Grande";"71";"69";"   1,99";"   2,20";"   2,32";"   3,07";"    3,75";"   3,89";"   3,84";"   3,38";"   3,10";"   2,72";"   2,25";"   1,79";"202208";"13/09/2022 15:15:14"
"PLANO SAÚDE SÃO FRANCISCO LTDA. (358053)";"Médico Hospitalar";"Pequeno";"86";"186";"   3,22";"0,00";"   3,21";"   3,22";"    3,23";"0,00";"   3,23";"   6,44";"   9,58";"   6,33";"   6,27";"   6,23";"202208";"13/09/2022 15:15:14"
"PLENA SAÚDE LTDA (348830)";"Médico Hospitalar";"Grande";"24";"20";"   7,26";"   9,14";"   7,76";"   7,80";"    8,18";"  10,03";"   9,58";"   8,63";"   7,43";"   8,57";"   9,12";"   9,54";"202208";"13/09/2022 15:15:14"
"POLI SAUDE OPERADORA DE PLANO DE SAUDE LTDA (351270)";"Médico Hospitalar";"Pequeno";"173";"152";"0,00";"   1,06";"   1,07";"   1,08";"    1,09";"   1,10";"   1,09";"0,00";"   1,10";"   1,10";"   1,10";"0,00";"202208";"13/09/2022 15:15:14"
"POLICLIN SAÚDE S/A. (415693)";"Médico Hospitalar";"Médio";"80";"87";"   2,43";"   2,69";"   3,25";"   4,37";"    3,29";"   3,27";"   2,98";"   2,70";"   2,41";"   2,14";"   2,94";"   3,48";"202208";"13/09/2022 15:15:14"
"POLICON ASSISTENCIA MÉDICA LTDA - EPP (412228)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA (316903)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"PORTO ALEGRE CLÍNICAS LTDA. (346870)";"Médico Hospitalar";"Médio";"177";"92";"   0,45";"   2,24";"   3,99";"   4,86";"    3,94";"   2,18";"   2,19";"   2,20";"   1,77";"   2,66";"   2,25";"   2,74";"202208";"13/09/2022 15:15:14"
"PORTO DIAS SAUDE LTDA. (415081)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"   4,11";"   4,21";"    4,30";"   4,41";"   4,52";"   4,63";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"PORTO SEGURO - SEGURO SAÚDE S/A (000582)";"Médico Hospitalar";"Grande";"57";"58";"   2,91";"   3,54";"   3,51";"   3,58";"    3,25";"   3,30";"   3,21";"   3,27";"   3,37";"   3,28";"   3,26";"   2,93";"202208";"13/09/2022 15:15:14"
"PORTOMED - PORTO SEGURO SERVIÇOS DE SAUDE LTDA (417491)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"  22,99";"  23,02";"   69,28";"  92,66";"  92,88";"  69,98";"  23,11";"  13,94";"   6,64";"0,00";"202208";"13/09/2022 15:15:14"
"POSTAL SAÚDE CAIXA DE ASSISTÊNCIA E SAÚDE DOS EMPREGADOS DOS CORREIOS (419133)";"Médico Hospitalar";"Grande";"10";"14";"  10,04";"  10,30";"   7,95";"   8,17";"    7,33";"   7,83";"   7,73";"   8,99";"   9,74";"  10,39";"  10,21";"   8,78";"202208";"13/09/2022 15:15:14"
"PREMIUM SAÚDE S.A. (417823)";"Médico Hospitalar";"Grande";"3";"2";"  16,82";"  22,13";"  24,31";"  22,82";"   20,58";"  28,07";"  35,05";"  33,94";"  24,09";"  13,12";"   9,96";"   7,84";"202208";"13/09/2022 15:15:14"
"PRESERVE SAUDE ASSISTENCIA MEDICA LTDA (422959)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"202208";"13/09/2022 15:15:14"
